Watch	age			BMI			fitzpatrick			v02max			vonluschan			wrist			age			BMI			fitzpatrick			v02max			vonluschan			wrist		
statistic	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate	statistic	p.value	estimate
Apple_HR	0.796	0.427	0.061	0.581	0.562	0.045	-0.471	0.639	-0.036	-0.946	0.346	-0.073	-0.386	0.7	-0.03	0.04	0.968	0.003	0.796	0.427	0.061	0.581	0.562	0.045	-0.471	0.639	-0.036	-0.946	0.346	-0.073	-0.386	0.7	-0.03	0.04	0.968	0.003
Samsung_HR	1.874	0.063	0.147	0.739	0.461	0.059	2.011	0.046	0.158	-1.773	0.078	-0.14	2.293	0.023	0.179	-0.653	0.515	-0.052	1.874	0.063	0.147	0.739	0.461	0.059	2.011	0.046	0.158	-1.773	0.078	-0.14	2.293	0.023	0.179	-0.653	0.515	-0.052
Pulseon_HR	-3.854	0.0	-0.319	-2.856	0.005	-0.242	-0.888	0.376	-0.077	1.322	0.188	0.115	-1.321	0.189	-0.115	-1.883	0.062	-0.162	-3.854	0.0	-0.319	-2.856	0.005	-0.242	-0.888	0.376	-0.077	1.322	0.188	0.115	-1.321	0.189	-0.115	-1.883	0.062	-0.162
Fitbit_HR	-0.502	0.616	-0.039	-0.278	0.781	-0.021	2.027	0.044	0.155	-2.644	0.009	-0.2	2.232	0.027	0.17	-1.847	0.066	-0.141	-0.502	0.616	-0.039	-0.278	0.781	-0.021	2.027	0.044	0.155	-2.644	0.009	-0.2	2.232	0.027	0.17	-1.847	0.066	-0.141
device_mean	-1.288	0.198	-0.07	-0.332	0.74	-0.018	1.369	0.172	0.074	-1.332	0.184	-0.072	1.441	0.15	0.078	-1.105	0.27	-0.06	-1.288	0.198	-0.07	-0.332	0.74	-0.018	1.369	0.172	0.074	-1.332	0.184	-0.072	1.441	0.15	0.078	-1.105	0.27	-0.06
Basis_HR	-1.695	0.092	-0.13	0.516	0.606	0.04	3.498	0.001	0.261	-2.683	0.008	-0.203	3.782	0.0	0.28	-0.826	0.41	-0.064	-1.695	0.092	-0.13	0.516	0.606	0.04	3.498	0.001	0.261	-2.683	0.008	-0.203	3.782	0.0	0.28	-0.826	0.41	-0.064
Mio_HR	-0.118	0.906	-0.011	-1.138	0.257	-0.103	1.056	0.293	0.096	1.918	0.057	0.172	1.145	0.255	0.104	-0.451	0.653	-0.041	-0.118	0.906	-0.011	-1.138	0.257	-0.103	1.056	0.293	0.096	1.918	0.057	0.172	1.145	0.255	0.104	-0.451	0.653	-0.041
Microsoft_HR	-1.013	0.312	-0.078	-0.296	0.767	-0.023	0.69	0.491	0.053	-0.106	0.915	-0.008	0.617	0.538	0.047	-0.016	0.987	-0.001	-1.013	0.312	-0.078	-0.296	0.767	-0.023	0.69	0.491	0.053	-0.106	0.915	-0.008	0.617	0.538	0.047	-0.016	0.987	-0.001
