"","Estimate","Naive.S.E.","Naive.z","Robust.S.E.","Robust.z","en_gee_exch_pval"
"(Intercept)",5.38193267266807,1.71193956191921,3.14376324514315,1.52984831894471,3.51795181654383,0.000434891319560682
"Activitywalk",0.0539324579832599,0.0916156273204815,0.588681860951497,0.0398752862735745,1.35252842106869,0.176206333172852
"Activityrun",0.209650735294183,0.164692187772059,1.27298530750195,0.0767561783210288,2.73138579694952,0.00630685949316253
"Activitybike",0.223362913974469,0.164804770872479,1.35531825196554,0.0726639164266857,3.0739179080697,0.00211267558189473
"Activitymax",0.470918103163591,0.235654234885343,1.99834347722507,0.121966700221214,3.86103831873353,0.000112906192777184
"BMI",-0.094940952442644,0.0359695404719159,-2.63948193935843,0.031012173406247,-3.06140918274111,0.00220297810227148
"DeviceBasis",-0.0136249999999139,0.0746471890246874,-0.182525292351032,0.0388978580306769,-0.350276356841255,0.726131307207502
"DeviceFitbit",-0.120749999999929,0.0746471890246873,-1.61760947167072,0.0367915029252725,-3.28200781156413,0.00103070749716371
"DeviceMicrosoft",-0.0678999999999394,0.0746471890246876,-0.909612282620358,0.0528178568289169,-1.28555007863866,0.198600128722456
"DevicePulseOn",0.460072980081903,0.0821990237067886,5.59706136806472,0.0386831423558617,11.8933714290713,1.28128015482858e-32
"Height",-0.0250012544837491,0.00974029662590814,-2.56678574010245,0.00831166372009869,-3.00797232969048,0.00262997082711176
"Intensity",-0.0985966386554589,0.0432782780893858,-2.27820151374368,0.0157482196300819,-6.2608117597701,3.82978598836379e-10
"SexM",0.027980288767035,0.0355180933926402,0.787775640367928,0.0250241075103165,1.11813333424578,0.2635100514798
"Weight",0.0308489476245967,0.0113982715678657,2.70645838195037,0.00979479093075644,3.14952589010639,0.00163535617615854
"Wrist",-0.0299638070791263,0.0194585828623607,-1.53987612001726,0.017801128572921,-1.6832532250066,0.0923260811714722
"Activitywalk:DeviceBasis",0.385191491596546,0.129564062681947,2.9729809611027,0.15464414230826,2.49082497304505,0.0127446885665497
"Activityrun:DeviceBasis",0.615855147058774,0.23290992556415,2.64417733837259,0.235844622727093,2.61127491455003,0.00902053467627074
"Activitybike:DeviceBasis",0.725973416289538,0.233063235891269,3.11492034989261,0.224011115912491,3.2407919282592,0.00119198153480086
"Activitymax:DeviceBasis",0.774011112339597,0.333097018709595,2.32368069620703,0.313887871664118,2.46588410133872,0.0136675549713624
"Activitywalk:DeviceFitbit",0.0100983193276765,0.129564062681947,0.0779407431246254,0.0576264465677223,0.175237584982946,0.860892952686597
"Activityrun:DeviceFitbit",0.0606044117646931,0.232909925564149,0.260205363158734,0.113207133839521,0.535340925162934,0.592414131801405
"Activitybike:DeviceFitbit",0.147381975867251,0.233063235891268,0.632369044837298,0.109002423693841,1.35209815408516,0.176343917765587
"Activitymax:DeviceFitbit",0.323909952237159,0.333594040387773,0.970970440181255,0.246786892396085,1.31250873614995,0.189348540349492
"Activitywalk:DeviceMicrosoft",0.174722626762483,0.129701813788665,1.34711012636396,0.088660275885274,1.97069798190763,0.0487584315227872
"Activityrun:DeviceMicrosoft",0.401148629112537,0.233326974852926,1.71925526127185,0.138217476319811,2.90230034430922,0.00370433201900492
"Activitybike:DeviceMicrosoft",0.541450173772891,0.23356414996103,2.31820754111121,0.155210861572618,3.48848120735135,0.000485772967657643
"Activitymax:DeviceMicrosoft",1.01176396530558,0.334762571936353,3.0223329909711,0.276981413768643,3.65282259029366,0.000259373438949779
"Activitywalk:DevicePulseOn",-0.534601901060718,0.141900562413463,-3.76744032559236,0.123622172354063,-4.32448233905467,1.52890451243151e-05
"Activityrun:DevicePulseOn",-0.267400568177429,0.255126627982376,-1.04810920871772,0.203927713175329,-1.31125173726402,0.189772728089127
"Activitybike:DevicePulseOn",0.00210587829037934,0.255055626267039,0.00825654513566589,0.220885499686772,0.00953380051368508,0.992393242998471
"Activitymax:DevicePulseOn",0.272186524288927,0.362713054377261,0.750418329321621,0.345432216374897,0.787959290958326,0.430720518199484
"DeviceBasis:Intensity",-0.165319327731101,0.061204727830166,-2.70108753999916,0.057554128617625,-2.87241474594187,0.00407347972197923
"DeviceFitbit:Intensity",-0.0228655462185019,0.0612047278301657,-0.373591175537133,0.0245867628710211,-0.929994173631213,0.352374101165763
"DeviceMicrosoft:Intensity",-0.114606751175028,0.0613342617905758,-1.86856004831932,0.0283765942132255,-4.03877753312669,5.37304941009997e-05
"DevicePulseOn:Intensity",0.0186892989936087,0.0670502763138505,0.278735599926948,0.0534511777441566,0.349651771623533,0.72660005224368
