"","Estimate","Naive.S.E.","Naive.z","Robust.S.E.","Robust.z","hr_gee_exch_pval"
"(Intercept)",0.0739131998359155,0.0361406796866326,2.04515245636772,0.0209617944140825,3.52609124847916,0.000421741632498718
"Activitywalk",-0.00522619728712616,0.0260730551249074,-0.200444376851473,0.0157963639873707,-0.330848117408826,0.740759213204033
"Activityrun",-0.015562391568828,0.026073077534691,-0.596875898064651,0.0158136003459808,-0.984114384349125,0.325059275129702
"Activitybike",-0.0414080917779792,0.0262538924597472,-1.57721723898529,0.0139365243869151,-2.9711921443525,0.0029664612025383
"Activitymax",0.0796517297010883,0.0375751450040817,2.11979833191424,0.0485678605250477,1.64000902736924,0.101003289971714
"DeviceBasis",0.0248249999999997,0.030041688506682,0.826351687738128,0.0245399900035636,1.01161410401531,0.311722599609244
"DeviceFitbit",0.00834999999999815,0.0300416885066819,0.277947093357983,0.02162416327861,0.386142108363458,0.699391425684627
"DeviceMicrosoft",0.0177749999999991,0.0300416885066819,0.59167779454359,0.0177610700515196,1.00078429669153,0.316931103026869
"DeviceMio",0.0620594701303216,0.0322397182424931,1.92493835285834,0.0266134005035328,2.33188803219955,0.0197065822345284
"DevicePulseOn",0.0212681602863881,0.0328109584423308,0.648202957062941,0.0227503775922049,0.934848672299636,0.349866292075275
"DeviceSamsung",0.173009699367213,0.0309915192786927,5.58248525383398,0.0541037354256294,3.19774037792698,0.0013850891905882
"SexM",0.0444366739937825,0.0139100191837102,3.19458035297474,0.0126780139314106,3.50501854897695,0.000456575471573089
"Weight",-0.000515758540156557,0.000446083831939773,-1.15619196040755,0.000277845652763685,-1.85627716333292,0.0634140624111176
"Activitywalk:DeviceBasis",0.0528688811870733,0.0369146830341201,1.43219111859113,0.0361997766894876,1.46047534051298,0.14415947996132
"Activityrun:DeviceBasis",-0.0023718476081477,0.0369147956125715,-0.0642519501676438,0.0283271239960554,-0.083730618345794,0.933270612697074
"Activitybike:DeviceBasis",-0.01117124156315,0.0371220069828679,-0.300933124879417,0.0260930223993182,-0.428131375207874,0.668555475147507
"Activitymax:DeviceBasis",-0.0388776315789473,0.0529387331343942,-0.734389156617134,0.0282071952988643,-1.37828774420946,0.168114465614885
"Activitywalk:DeviceFitbit",0.0794261972871269,0.0368331574779549,2.15637764247239,0.028296250626119,2.80695129317988,0.00500128031010749
"Activityrun:DeviceFitbit",0.00153739156882913,0.0368331733411524,0.0417393189174786,0.0254989061411457,0.060292451774955,0.951922713621814
"Activitybike:DeviceFitbit",0.00318874975077908,0.0370365308602291,0.0860974199449995,0.0242338165589304,0.131582647868315,0.89531441116942
"Activitymax:DeviceFitbit",-0.022603590644443,0.0534431132144665,-0.422946742524804,0.0262432547899903,-0.861310490079317,0.389067059674676
"Activitywalk:DeviceMicrosoft",0.00261369728712609,0.036833157477955,0.0709604461330912,0.0243166049547256,0.107486110499079,0.914403343700116
"Activityrun:DeviceMicrosoft",0.0249873915688278,0.0368331733411525,0.678393668050052,0.0296188058708921,0.843632646020486,0.398874715712023
"Activitybike:DeviceMicrosoft",-0.00929043277061148,0.0371231324859396,-0.250259936284478,0.0196380594139933,-0.473083036096301,0.636153939005146
"Activitymax:DeviceMicrosoft",0.0292717963977346,0.05402733433651,0.541796051150975,0.0318245888552516,0.91978553221448,0.357684845274221
"Activitywalk:DeviceMio",0.0246084119754927,0.0390700215231244,0.629854067547102,0.0271223600547985,0.907310865491553,0.364242429943857
"Activityrun:DeviceMio",-0.0187619979108069,0.0391909007982119,-0.478733520502874,0.0278694950998464,-0.673209107075295,0.500814268164903
"Activitybike:DeviceMio",0.00254024453439574,0.0407390806638543,0.0623539975129967,0.0315615460386275,0.0804854277824919,0.935851185578698
"Activitymax:DeviceMio",-0.138152568333247,0.0552277147901914,-2.50150796313201,0.0528748190740201,-2.61282347160084,0.00897976707917695
"Activitywalk:DevicePulseOn",0.0323546563239122,0.0400610069248109,0.807634625476027,0.0295408475196106,1.09525145825399,0.273406487321026
"Activityrun:DevicePulseOn",0.0219173165554478,0.0399171804364645,0.549069756826467,0.0232742582634696,0.941697746383108,0.34634740918452
"Activitybike:DevicePulseOn",0.00435809177797904,0.0398969913354437,0.109233594617131,0.0246969439985915,0.176462795487069,0.859930374890167
"Activitymax:DevicePulseOn",-0.0695739751032335,0.0555394326895634,-1.25269509849184,0.0612700153037292,-1.13553056512782,0.256153082853661
"Activitywalk:DeviceSamsung",-0.0506331728929298,0.0378708163475235,-1.33699713331479,0.0481026243826304,-1.05260728583477,0.292521016573785
"Activityrun:DeviceSamsung",-0.103707878701442,0.0375707945152576,-2.76033232832823,0.0567929998414537,-1.82606798357119,0.067840022118268
"Activitybike:DeviceSamsung",-0.0717995210501655,0.0377925034877069,-1.89983500493743,0.0527086265376404,-1.36219677435328,0.17313579354258
"Activitymax:DeviceSamsung",-0.203205742068806,0.0551534359821197,-3.68437139863205,0.0770471147897256,-2.63742182459899,0.00835388781978566
