Fitbit	Microsoft	PulseOn	Apple	Basis
0.339	0.2	0.176	0.66	1.64
0.243	0.524	0.623	0.297	0.714
0.414	0	0.044	0.582	0.45
0.402	0.048	1	0.669	0.19
0.079	1	1.812	0.563	0.446
0.408	0.429	0.841	0.28	0.429
0.104	0.773	0.448	0.106	0.682
0.034	1	1.022	0.471	0.059
0.454	0.474	0.448	0.459	0.579
0.302	0.375	0.412	0.338	0.188
0.373	0.565	0.203	0.343	0.391
0.259	0.444	0.438	0.438	0.556
0.384	0.565	0.753	0.276	0.391
0.215	0.333	0.434	0.436	0.45
0.078	0.5	1	0.559	0.463
0.496	0.176	0.016	0.792	2.118
0.214	1	0.912	0.837	0.364
0.385	1	0.542	0.454	0.579
0.353	1	1	0.588	0.048
1.705	1	0.265	0.598	1.571
0.433	0.444	0.138	0.021	2.222
0.284	0.412	0.09	0.492	0.794
0.185	0.333	1	0.271	0.467
0.139	0.412	0.004	0.482	0.373
0.583	0.167	0.593	0.575	1.917
0.642	0.412	0.573	0.749	1.059
0.479	0.808	1	0.524	0.327
0.247	0.464	0.258	0.663	0.286
0.397	0.667	0.253	0.676	0.467
0.53	0.259	0.081	0.312	1.704
0.223	0.034	0.086	0.41	0.362
0.352	0.111	0.161	0.023	0.556
0.564	0.31	0.253	0.015	1.31
0.256	0.111	0.777	0.436	0.5
0.141	0.167	0.014	0.165	0.333
0.339	0.231	0.195	0.41	0.385
0.219	0.091	0.497	0.121	2.636
0.263	0.429	0.303	0.366	0.429
0.382	0.333	0.063	0.433	0.467
0.455	0.176	0.176	0.496	1.765
0.048	0.176	0.062	0.569	0.588
0.326	0.403	0.115	0.026	0.284
0.053	0.129	0.697	0.432	0.29
0.188	0.032	0.017	0.409	0.645
0.202	0.176	0.017	0.37	0.118
0.775	0.176	0.044	0.276	0.706
0.27	0.042	1.049	0.436	0.24
0.102	0.118	0.131	0.28	0.132
0.026	0.242	0.161	0.608	0.5
0.004	0.42	0.146	0.48	0.058
0.114	0.247	0.004	0.441	0.183
0.184	0.194	0.131	0.51	0.081
0.003	0.452	0.387	0.46	0.014
0.055	0.074	0.011	0.543	0.203
0.385	0.394	0.146	0.649	0.685
0.236	0.259	1	0.484	0.667
