 Date	heart	calories	steps
20160808103517-0700	79		
20160808103600-0700		0.8727999926	0
20160808103700-0700		0.8727999926	0
20160808103800-0700		0.8727999926	0
20160808103900-0700		0.8727999926	0
20160808104000-0700		0.8727999926	0
20160808104100-0700		0.9600800276	0
20160808104120-0700	70		
20160808104125-0700	71		
20160808104130-0700	89		
20160808104135-0700	100		
20160808104140-0700	96		
20160808104145-0700	101		
20160808104150-0700	104		
20160808104155-0700	103		
20160808104200-0700	101	2.9675199986	30
20160808104205-0700	104		
20160808104220-0700	104		
20160808104235-0700	106		
20160808104240-0700	111		
20160808104245-0700	112		
20160808104250-0700	110		
20160808104300-0700		2.9675199986	28
20160808104312-0700	70		
20160808104322-0700	76		
20160808104327-0700	87		
20160808104332-0700	88		
20160808104342-0700	91		
20160808104347-0700	89		
20160808104400-0700		2.0947198868	18
20160808104402-0700	90		
