"","Device","corr","name"
"1","Apple_HR",0.0403192326711309,"statistic"
"2","Apple_HR",168,"parameter"
"3","Apple_HR",0.967886495866441,"p.value"
"4","Apple_HR",0.0031106812844172,"estimate"
"5","Apple_HR",0,"null.value"
"6","Apple_HR",two.sided,"alternative"
"7","Apple_HR",Pearson's product-moment correlation,"method"
"8","Apple_HR",percentdiff and Wrist,"data.name"
"9","Apple_HR",c(-0.147472617778501, 0.153553039572527),"conf.int"
"10","Basis_HR",-0.82556781133969,"statistic"
"11","Basis_HR",168,"parameter"
"12","Basis_HR",0.41022008745405,"p.value"
"13","Basis_HR",-0.0635651307056625,"estimate"
"14","Basis_HR",0,"null.value"
"15","Basis_HR",two.sided,"alternative"
"16","Basis_HR",Pearson's product-moment correlation,"method"
"17","Basis_HR",percentdiff and Wrist,"data.name"
"18","Basis_HR",c(-0.212050597604175, 0.0877890393587024),"conf.int"
"19","device_mean",-1.10514081444155,"statistic"
"20","device_mean",342,"parameter"
"21","device_mean",0.269875433486388,"p.value"
"22","device_mean",-0.0596527513657625,"estimate"
"23","device_mean",0,"null.value"
"24","device_mean",two.sided,"alternative"
"25","device_mean",Pearson's product-moment correlation,"method"
"26","device_mean",percentdiff and Wrist,"data.name"
"27","device_mean",c(-0.164357256300342, 0.0463810391731627),"conf.int"
"28","Fitbit_HR",-1.84749739145259,"statistic"
"29","Fitbit_HR",168,"parameter"
"30","Fitbit_HR",0.0664336231814626,"p.value"
"31","Fitbit_HR",-0.141111251487418,"estimate"
"32","Fitbit_HR",0,"null.value"
"33","Fitbit_HR",two.sided,"alternative"
"34","Fitbit_HR",Pearson's product-moment correlation,"method"
"35","Fitbit_HR",percentdiff and Wrist,"data.name"
"36","Fitbit_HR",c(-0.285560413307235, 0.00960704713952769),"conf.int"
"37","Microsoft_HR",-0.0160151256015113,"statistic"
"38","Microsoft_HR",169,"parameter"
"39","Microsoft_HR",0.987241215787052,"p.value"
"40","Microsoft_HR",-0.0012319318037524,"estimate"
"41","Microsoft_HR",0,"null.value"
"42","Microsoft_HR",two.sided,"alternative"
"43","Microsoft_HR",Pearson's product-moment correlation,"method"
"44","Microsoft_HR",percentdiff and Wrist,"data.name"
"45","Microsoft_HR",c(-0.151276365016554, 0.148867991786694),"conf.int"
"46","Mio_HR",-0.451324584570477,"statistic"
"47","Mio_HR",120,"parameter"
"48","Mio_HR",0.652570204070402,"p.value"
"49","Mio_HR",-0.0411651861992227,"estimate"
"50","Mio_HR",0,"null.value"
"51","Mio_HR",two.sided,"alternative"
"52","Mio_HR",Pearson's product-moment correlation,"method"
"53","Mio_HR",percentdiff and Wrist,"data.name"
"54","Mio_HR",c(-0.217335749391725, 0.137602660752702),"conf.int"
"55","Pulseon_HR",-1.88337159198564,"statistic"
"56","Pulseon_HR",131,"parameter"
"57","Pulseon_HR",0.0618670497544738,"p.value"
"58","Pulseon_HR",-0.162367410012211,"estimate"
"59","Pulseon_HR",0,"null.value"
"60","Pulseon_HR",two.sided,"alternative"
"61","Pulseon_HR",Pearson's product-moment correlation,"method"
"62","Pulseon_HR",percentdiff and Wrist,"data.name"
"63","Pulseon_HR",c(-0.323648780649356, 0.00808278325200489),"conf.int"
"64","Samsung_HR",-0.653038660156914,"statistic"
"65","Samsung_HR",158,"parameter"
"66","Samsung_HR",0.514680470842282,"p.value"
"67","Samsung_HR",-0.0518829945042226,"estimate"
"68","Samsung_HR",0,"null.value"
"69","Samsung_HR",two.sided,"alternative"
"70","Samsung_HR",Pearson's product-moment correlation,"method"
"71","Samsung_HR",percentdiff and Wrist,"data.name"
"72","Samsung_HR",c(-0.205388343101541, 0.104113878026505),"conf.int"
